#EPIC,    ra,        dec,      Kp,   list
60019355, 355.36738, 3.17909, 14.5, cool_star
60019357, 1.13445, 3.37821, 14.5, cool_star
60019361, 355.56956, 2.34749, 14.5, cool_star
60019363, 355.61078, 2.11295, 14.5, cool_star
60019365, 356.05818, 1.89256, 14.5, cool_star
60019367, 355.57276, 1.30631, 14.5, cool_star
60019368, 0.27483, 1.8122, 14.5, cool_star
60019369, 358.53851, 2.04845, 14.5, cool_star
60019370, 358.37461, 1.9965, 14.5, cool_star
60019371, 0.58757, 0.43309, 14.5, cool_star
60019372, 359.38135, 1.09816, 14.5, cool_star
60019374, 357.64787, 0.12482, 14.5, cool_star
60019386, 5.49921, -5.03803, 14.5, cool_star
60019387, 4.58127, -5.64993, 14.5, cool_star
60019390, 5.45878, -0.43629, 14.5, cool_star
60019391, 3.25826, -4.8957, 14.5, cool_star
60019392, 4.60644, -2.15598, 14.5, cool_star
60019395, 355.12902, -5.06519, 14.5, cool_star
60019401, 354.0623, -0.54525, 14.5, cool_star
60019402, 354.13498, -0.50985, 14.5, cool_star
60019405, 0.43747, -4.22604, 14.5, cool_star
60019406, 356.98567, -4.23301, 14.5, cool_star
60019409, 356.0872, -3.08248, 14.5, cool_star
60019411, 1.62075, -1.24745, 14.5, cool_star
60019414, 0.17132, -0.20304, 14.5, cool_star
60019415, 356.81038, -1.23927, 14.5, cool_star
60019416, 358.66334, -2.24833, 14.5, cool_star
60019418, 357.54183, -0.38626, 14.5, cool_star
60019419, 357.9456, -0.19468, 14.5, cool_star
60019420, 358.5866, -0.04196, 14.5, cool_star
60019421, 357.90127, -0.36096, 14.5, cool_star
60019437, 0.46426, -9.31344, 14.5, cool_star
60019445, 355.22268, -8.2055, 14.5, cool_star
60019448, 3.62999, -7.03249, 14.5, cool_star
60019449, 359.76524, -8.72876, 14.5, cool_star
60019450, 0.93211, -8.44085, 14.5, cool_star
60019454, 355.18904, -7.96275, 14.5, cool_star
60019455, 2.70876, -7.32809, 14.5, cool_star
60019457, 356.97133, -7.83155, 14.5, cool_star
60019458, 355.00961, -7.04616, 14.5, cool_star
60019460, 358.6119, -7.85007, 14.5, cool_star
60019461, 353.90328, -6.09331, 14.5, cool_star
60019465, 353.08331, -3.91018, 14.5, cool_star
60019466, 352.54708, -2.62298, 14.5, cool_star
60019468, 358.61753, -6.80694, 14.5, cool_star
60019469, 358.20274, -6.46172, 14.5, cool_star
60019470, 353.45951, -2.96589, 14.5, cool_star
60019472, 358.25854, -6.11979, 14.5, cool_star
60019473, 354.19953, -1.29767, 14.5, cool_star
